grupo,nome_grupo,n_variaveis,variaveis_com_log,modelo,nome_modelo,k,menor_cluster,silhueta,davies_bouldin,calinski_harabasz,inercia
C,Mercado + renda,6,2,ward,Aglomerativo (Ward),2,284,0.3235822947323181,1.2102850389821982,405.2063922047225,
C,Mercado + renda,6,2,ward,Aglomerativo (Ward),3,104,0.27375778317019545,1.2719926641406476,290.3484063181147,
C,Mercado + renda,6,2,ward,Aglomerativo (Ward),4,104,0.2355417794978515,1.429112569731248,261.7837292320948,
C,Mercado + renda,6,2,ward,Aglomerativo (Ward),5,36,0.22284839846776686,1.3775657533053969,234.96639400456698,
C,Mercado + renda,6,2,ward,Aglomerativo (Ward),6,36,0.19130230992121341,1.472050842656392,225.44404462077006,
C,Mercado + renda,6,2,ward,Aglomerativo (Ward),7,26,0.18434187709845004,1.4701688167401652,207.83688944483654,
C,Mercado + renda,6,2,ward,Aglomerativo (Ward),8,26,0.16482839362954227,1.394366554428165,191.49892257031277,
C,Mercado + renda,6,2,ward,Aglomerativo (Ward),9,26,0.16739160460263974,1.4631218486453421,179.68677528591937,
C,Mercado + renda,6,2,ward,Aglomerativo (Ward),10,26,0.16179030410232018,1.5701311574721304,170.38034902401603,
C,Mercado + renda,6,2,mistura_gaussiana,Mistura Gaussiana,2,278,0.29583902843435683,1.2881062734508255,350.03127449153965,
C,Mercado + renda,6,2,mistura_gaussiana,Mistura Gaussiana,3,94,0.25766018350397996,1.3041831473439138,261.488023986995,
C,Mercado + renda,6,2,mistura_gaussiana,Mistura Gaussiana,4,91,0.2141181066204996,1.4271708997103802,223.00241026170897,
C,Mercado + renda,6,2,mistura_gaussiana,Mistura Gaussiana,5,70,0.19798169035272123,1.4826717937445266,199.36479887375998,
C,Mercado + renda,6,2,mistura_gaussiana,Mistura Gaussiana,6,54,0.19502117448775919,1.4638207914034151,196.05821719063889,
C,Mercado + renda,6,2,mistura_gaussiana,Mistura Gaussiana,7,36,0.126588083792393,1.8219970729469828,159.70372447804166,
C,Mercado + renda,6,2,mistura_gaussiana,Mistura Gaussiana,8,34,0.15602034782216723,1.5074711278542337,172.37066779247502,
C,Mercado + renda,6,2,mistura_gaussiana,Mistura Gaussiana,9,35,0.12180717782595163,1.8595036216591607,139.76646790692195,
C,Mercado + renda,6,2,mistura_gaussiana,Mistura Gaussiana,10,30,0.13355549476890188,2.056095509658335,133.0174778787419,
D,Mercado + renda + marketing,6,1,kmeans,KMeans,2,263,0.3376868790991294,1.1826828284053308,422.0813035154493,2550.463087971928
D,Mercado + renda + marketing,6,1,kmeans,KMeans,3,97,0.2857409621369723,1.2507706738933388,319.6479037524736,2130.625657551219
D,Mercado + renda + marketing,6,1,kmeans,KMeans,4,92,0.23931520878077586,1.3291617402460414,301.1804702312168,1774.5052105315763
D,Mercado + renda + marketing,6,1,kmeans,KMeans,5,73,0.23629283216648256,1.3251270485627475,283.77796829274706,1547.072605438569
